Title,Actual_Price,Selling_Price,Brand,Model Name,Colour,Form_Factor,Connectivity_Type
Skullcandy Push True Wireless Earbuds (Dark Gray/Black),"₹9,999","5,999",Skullcandy,Push,Gray/Black,In Ear,Wireless
"pTron Bassbuds Duo in Ear Earbuds with 32Hrs Total Playtime, Bluetooth 5.1 Wireless, Stereo Audio, Touch Control TWS, with Mic, Type-C Fast Charging, IPX4 & Voice Assistance (Black)","₹2,599",898,PTron,Bassbuds,Midnight Black,In Ear,Wireless
Meyaar Beex Wired In Ear Earphone with Mic (White),,279,Meyaar,,White,In Ear,wired usb
"boAt Airdopes 191G True Wireless in Ear Earbuds with ENx Tech Equipped Quad Mics, Beast Mode(Low Latency- 65ms) for Gaming, 2x6mm Dual Drivers, 30H Playtime, IPX5, IWP (White Siberia)","₹3,490","1,599",boAt,Airdopes 191G,White Siberia,In Ear,Bluetooth
Skullcandy Riff Wired On Ear Headphone with Mic (Blue),"₹3,999","1,899",Skullcandy,Riff Wired,Blue,On Ear,Wired
"Meyaar Hitage 276 Rich Bass Metal Earbuds with HD Sound Heavy BASS Wired Headset with Mic (White, in The Ear) (White)",₹999,109,Meyaar,,White,In Ear,wired usb
Skullcandy Ink'd Wired in-Earphone with Mic (Black),,"1,799",Skullcandy,Ink'd with Mic,Black,In Ear,Wired
Jabra Elite 85t True Wireless Bluetooth Earbuds – Advanced Noise-Cancelling Earbuds for Calls & Music with Charging Case and 2 Wireless Charging Pads - Grey,"₹45,535","28,114",Jabra,Elite 85t,Grey,On Ear,USB
"(Renewed) Skullcandy Hesh 2 Bluetooth Wireless Over-Ear Headphones - Black, S6HBGY-374",,,Skullcandy,,Black,Over Ear,Bluetooth
"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)","₹7,990","3,999",boAt,Nirvanaa 751 ANC,Gunmetal Grey,Over Ear,Bluetooth 5.0
"Zebronics Zeb-Bang Foldable Wireless BT Headphone Comes with 40mm Drivers, AUX Connectivity, Call Function, 16Hrs* Playback time & Supports Voice Assistant (Red)","₹1,399",699,ZEBRONICS,Zeb-Bang,Red,Over Ear,Wireless
"ZEBRONICS Zeb-BRO PRO in Ear Wired Stereo Earphones with Mic, 3.5mm Audio Input Jack, 10mm Drivers, in-Line Mic, 1.2 Metre Cable (Black)",₹449,199,ZEBRONICS,ZEB BRo Pro,Black,In Ear,Wired
"Portronics Harmonics Z5 Wireless Bluetooth Stereo Headset with 33Hrs Playtime, Double EQ Mode, 14.2 mm Dynamic Drivers, Click Action Buttons(Blue)","₹2,499",799,Portronics,Harmonics Z5,Blue,In Ear,Wireless
"Boult Audio Newly Launched Charge with 12H Playtime,20mins=100% Charge Type-C Fast Lightning Charging,Pro+ Calling HD Mic,10mm Rich Bass Drivers,IPX5,Bluetooth Wireless Earphones Neckband Probass-Blue","₹1,999",799,Boult Audio,,,nan,Lightning
"boAt Rockerz 550 Upto 20 Hours Playback, Soft Padded Ear Cushions and Physical Noise Isolation Bluetooth Wireless Over Ear Headphones with Mic & Bassheads 102 in Ear Wired Earphones with Mic",,,boAt,,Blue,Over Ear,"Wireless, Wired"
"ZEBRONICS Zeb Yoga 90 Plus Wireless in-Ear Neckband Earphone Supporting Bluetooth 5.0, Dual Pairing,Type C Charging,10mm Drivers,Metallic Magnetic Earpiece,Call & Media Controls, Splash Proof(Yellow)","₹2,299",799,ZEBRONICS,ZEB-YOGA 90 PLUS - YELLOW,Yellow,In Ear,Wireless
"ZEBRONICS Zeb-Sound Bomb 1 TWS Earbuds with BT5.0, Up to 12H Playback, Touch Controls, Voice Assistant, Splash Proof with Type C Portable Charging Case (Orange)","₹2,499",879,ZEBRONICS,ZEB-SOUND BOMB 1 - ORANGE,orange,Earbuds,Wireless
boAt Bassheads 225 in Ear Wired Earphones with Mic(Fiery Orange Indi),₹999,699,boAt,Bassheads 225,Fiery Orange Indi,In Ear,Wired
(Renewed) boAt Airdopes 381 with ASAP charge Bluetooth Truly Wireless in ear Earbuds with mic (Grey),,,boAt,Airdopes 381,Grey,In Ear,Wireless
"boAt Rockerz 370 On Ear Bluetooth Headphones with Upto 12 Hours Playtime, Cozy Padded Earcups and Bluetooth v5.0(Buoyant Black) & Bassheads 152 in Ear Wired Earphones with Mic(Active Black)",,,boAt,,Black,On Ear,"Wireless, Wired"
(Renewed) ZEBRONICS Zeb Evolve Wireless Bluetooth In Ear Neckband Earphone with Mic (Gray),,,ZEBRONICS,,Gray,In Ear,Wireless
boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),₹999,399,boAt,BassHeads 100,Furious Red,In Ear,Wired
"Noise Newly Launched Buds Connect Truly Wireless in Ear Earbuds with 50H Playtime, Quad Mic with ENC, Instacharge(10 min=120 min), 13mm Driver, Hyper Sync, and BT v5.2 (Mint Green)",,,Noise,Buds Connect,Mint Green,In Ear,Wireless
(Renewed) Skullcandy Jib Plus Wireless in-Earphone with Mic (Red),,,Skullcandy,,Red/Black,In Ear,Bluetooth
"Jabra Talk 45 Bluetooth Wireless in Ear Earphones with mic for High Definition Hands-Free Calls with Noise Cancellation, 1-Touch Voice Activation and Streaming Multimedia (Silver)","₹4,999","4,867",Jabra,Jabra Talk 45,Silver,nan,nan
"Noise ColorFit Ultra Buzz Bluetooth Calling Smart Watch & Flair in-Ear Wireless Bluetooth Smart Neckband Earphone with Touch Controls, 35 Hour Playtime, Environmental Cancellation with Dual mic",,,Noise,,Clear,nan,nan
"Boult Audio Probass Qcharge Bluetooth Wireless in Ear Earphones with Mic with Fast Charging, 20H Battery Life, Ipx5 Water Resistant Neckband (Black)","₹4,999",999,Boult Audio,ProBass Qcharge,Black,In Ear,Bluetooth
"Skullcandy Hesh ANC Wireless Over-Ear Headphones, Active Noise Cancelling, Wireless Charging 22 Hours Battery Life - Mob White","₹19,999","10,599",Skullcandy,Hesh ANC,Mod White,Over Ear,Wireless
"pTron Tangentbeat In-ear Bluetooth Wireless Headphones with Mic, Enhanced Bass, 10mm Drivers, Clear Calls, Snug-Fit, Fast Charging, Magnetic Buds, Voice Assistant & IPX4 Wireless Neckband (Dark Green)","₹2,499",749,PTron,Tangent,Dark Green,nan,nan
"boAt Airdopes 141 True Wireless in Ear Earbuds with mic, 42H Playtime, BeastMode(Low Latency Upto 80ms) & Stone 180 5W Bluetooth Speaker with Upto 10 Hours Playback, 1.75"" Driver, IPX7 & TWS Feature",,,boAt,,,In Ear,Wireless
"Portronics Harmonics X1 in-Ear Wireless Bluetooth 5.0 Sports Headset with Powerful Audio Output, 15 Hrs Playtime, with Mic, Magnetic Earbuds, Type C Charging (Black)","₹1,999",849,Portronics,Harmonics X1,Black,In Ear,Wireless
"pTron Bassbuds Duo in Ear Earbuds with 32Hrs Total Playtime, Bluetooth 5.1 Wireless, Stereo Audio, Touch Control TWS, with Mic, Type-C Fast Charging, IPX4 & Voice Assistance (White)","₹2,599",898,PTron,Bassbuds,Moon White,In Ear,Wireless
"Meyaar Pack of 2 SP-27 High Bass Headset Wired in-Ear Earphone with Mic, Made in India Earphones (Black + White)",₹999,249,Meyaar,SP-27(White + Black),White + Black,In Ear,Wired
boAt Airdopes 441 Bluetooth Truly Wireless in Ear Earbuds with Mic with Up to 30H Total Playback Iwp Technology Immersive Audioipx7 Water Resistance Super Touch Controls Secure Sports Fit,"₹5,999","1,999",boAt,Airdopes 441,Techno Purple,In Ear,Bluetooth
Skullcandy Indy Evo True Wireless in-Ear Earbud - Limited - Carefree,"₹25,765","16,838",Skullcandy,Indy Evo,Yellow,In Ear,Wireless
"(Renewed) boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(MI Blue)",,,boAt,Airdopes 441,MI Blue,In Ear,Wireless
"Boult Audio XCharge Wireless in Ear Bluetooth Earphones with ENC Mic, 20H Playtime, Type-C Fast Charging (15Min=15Hrs Playtime), Made in India, Biggest 14.2mm Bass Drivers Neckband (Teal Blue)","₹4,999",899,Boult Audio,ProBass,Teal Blue,In Ear,Bluetooth 5.0
boAt Bassheads 900 Wired On Ear Headphones with Mic (Pearl White) & Bassheads 102 in Ear Wired Earphones with Mic(Charcoal Black),,,boAt,,"White, Black",On Ear,Wired
"ZEBRONICS Zeb-Bang PRO Bluetooth v5.0 On Ear Headphone, 30H Backup, Foldable Design, Call Function, Voice Assistant Feature, Built-in Rechargeable Battery, Type C Charging, 40mm Driver and AUX. (Blue)","₹2,499","1,469",ZEBRONICS,Zeb- Bang Pro (Blue),Blue,On Ear,Wireless
ZEBRONICS Zeb- Sound Bomb 2 Truly Wireless Bluetooth in Ear Earbuds with Mic (Blue),"₹2,499","1,199",ZEBRONICS,SOUND BOMB 2,BLUE,In Ear,Wireless
"Noise Buds Vs104 Bluetooth Truly Wireless in Ear Earbuds with Mic, 30-Hours of Playtime, Instacharge, 13Mm Driver and Hyper Sync (Mint Green)","₹3,499","1,499",Noise,Buds VS104,Mint Green,In Ear,Wireless
"Portronics Conch 60 in-Ear Wired Earphone with Mic, 1.2M Cord Length, Type-C Audio Jack(Red)",₹599,485,Portronics,Conch 60,Red,In Ear,Wired
"pTron Bassbuds Xtreme in Ear Bluetooth Truly Wireless in Ear Earbuds with mic, 32Hrs Playtime, BT5.3, 13mm Driver, Stereo Calls, DeepBass, Touch Control, Zany Case & Type-C Fast Charging (Blue/Black)","₹4,599","1,099",PTron,Bassbuds Xtreme,Blue/Black,nan,nan
"Portronics Harmonics Z4 Wireless Bluetooth 5.3 Neckband in Ear Earphones with mic, 30Hrs Playtime, Gaming Mode, Voice Assistance, Magnetic Latch, IPX4 Water Resistant, Type C Charging Port(Black)","₹2,499",699,Portronics,Harmonics Z4,Black,nan,nan
"Meyaar SP Dual Driver Earphones,6D Sound High End Sport Earbuds Noise Isolating Deep Bass in Ear Earphones with Microphones Headphones with Mic (Black) (Black with Case)",₹999,329,Meyaar,,Black With Case,In Ear,Wireless
"Skullcandy Jib Bluetooth Truly Wireless in Ear Earbuds with Mic Dual with 22 Hours Total Battery, Ipx4 Sweat and Water Resistant, Noise-Isolating Fit,Call, Track and Volume Control (Chill Grey)","₹8,999","3,199",Skullcandy,Jib True Wireless Earbuds,Chill Grey,In Ear,Wireless
Dylect in-Ear Wired Earphone I Stereo Quality Sound I High Bass I in-Built Mic I 1.2m Tangle Free Cable I 3.5mm Aux Port (Black),₹299,188,Dylect,Dylect Wired Earphone,Black,In Ear,Wired
"Boult Audio X30 True Wireless in Ear Earbuds with 40H Playtime, Quad Mic ENC, 45ms Xtreme Low Latency, Made in India, Type-C Fast Charging, 3 Equalizer Modes (Rock, BoomX, Hi-Fi), BT 5.1 (Warm Grey)","₹4,999","1,499",Boult Audio,AirBass,Warm Grey,In Ear,Wireless
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook","₹4,695","3,964",Logitech,H390 Headset,Black,On Ear,Wired
"Meyaar HB-91 Premium Series Compatible Earphones with Extreme Pure HD Hybrid High Fidelity, 3.5mm Jack in-Ear Headphones Handsfree Earphone with Mic -Gold-(Gifting Box)",₹999,299,Meyaar,,White,In Ear,wired usb
"Wings Phantom 105 Wireless in Ear Earbuds with Mic, RGB LED Gaming Design. 60 Hours Mega Playtime, 13 mm HD BASS Drivers, ENC Clarity, 5.1 Bluetooth, IPX 5 Resistance Gaming Earbuds (Black)","₹3,599","1,499",Wings,WL-PHANTOM105-BLK,Black,nan,nan
"boAt Airdopes 121 PRO True Wireless in Ear Earbuds Signature Sound, Quad Mic ENx & Stone 1000 14W Bluetooth Speaker with 8 Hours Playback, Bluetooth v5.0, IPX5 Water Resistance(Blue)",,,boAt,,Blue,In Ear,Wireless
"boAt Airdopes 141 True Wireless in Ear Earbuds with mic, 42H Playtime, BeastMode(Low Latency Upto 80ms) (Cider Cyan) & Rockerz 450 Bluetooth On Ear Headphones with Mic (Aqua Blue)",,"1,499",boAt,,Cyan Cider,"In Ear, On Ear",Wireless
(Renewed) boAt Rockerz 510 Bluetooth Wireless On Ear Headphones with Mic (Molten Orange),,,boAt,Rockerz 510,Molten Orange,On Ear,Wireless
"pTron Studio Over-Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Lightweight Wireless Headset, Soft Cushions Earpads, Fast Charging & Aux Port - (Black)","₹1,999",699,PTron,Studio,Black,Over Ear,Wireless
"boAt Rockerz 330ANC Bluetooth Neckband in Ear Earphones with mic, Crystal Bionic Sound Powered by Dirac Opteo, ASAP Charge, 24H Playback & ENx Tech(Gunmetal Black) & Call Smart Watch",,,boAt,,Gunmetal Black,In Ear,Wireless
"Skullcandy Hesh Active Noise Cancellation Wireless Over-Ear Headphone with Up to 22 Hours of Battery, Rapid Charge (10 min = 3 hrs), Built-in Tile Finding Technology (Chill Grey)","₹19,999","10,599",Skullcandy,Hesh ANC,Chill Grey,Over Ear,Wireless
"boAt Airdopes 191G Bluetooth Truly Wireless in Ear Earbuds with mic, ENx Tech Equipped Quad Mics, Beast Mode(Low Latency- 65ms) for Gaming, 2x6mm Dual Drivers, 30H Playtime, IPX5, IWP (Raging Red)","₹3,490","1,599",boAt,Airdopes 191G,Raging Red,In Ear,Bluetooth
ZEBRONICS Zeb-Duke Bluetooth Wireless Over Ear Headphone with Mic (Blue),"₹2,499","1,299",ZEBRONICS,Zeb-Duke,Blue,Over Ear,Wireless
"boAt Airdopes 181 in-Ear True Wireless Earbuds with ENx Tech, Beast Mode(Low Latency Upto 60ms) for Gaming, with Mic, ASAP Charge, 20H Playtime, Bluetooth v5.2, IPX4 & IWP (Bold Blue)","₹2,990","1,399",boAt,Airdopes 181,Bold Blue,In Ear,Bluetooth 5.2
"Jabra Elite 7 Pro in Ear Bluetooth True Wireless Earbuds + Wireless Charging Pad - Active Noise Cancellation, Compact Design, MultiSensor Voice Tech & Multipoint with mic - Titanium Black","₹20,999","15,069",Jabra,Elite 7 Pro,Titanium Black,nan,nan
"Meyaar SPN UpBeat-1 Earbuds, Wired Headphones with Microphone and Ear Bud Tip Replacements, Universal 3.5 mm Plug for Most Smartphones, Tablets, Noise Isolating, Memory Foam Pads, Deep Bass (Brown)",₹349,129,Meyaar,Upbeat-1,Black,In Ear,Wired
(Renewed) ZEBRONICS Zeb Soundbomb S1 Pro Truly Wireless Bluetooth In Ear Earbuds with Mic (Black),,,ZEBRONICS,,Black,In Ear,Wireless
"ZEBRONICS Jumbo LITE with 70 Hours Backup, Bluetooth v5.2 Wireless in Ear Neckband, Fast Charging, ENC Calling, Gaming Mode (Upto 50ms), Voice Assistant, Dual Pairing, Splash Proof, and Type C (Grey)","₹2,999",999,ZEBRONICS,Zeb Yoga 7 (Jumbo Lite),Grey,In Ear,Wireless
"ZEBRONICS Zeb-Thunder Bluetooth Wireless Over Ear Headphone FM (Black) & Zeb-Sound Bomb 1 TWS Earbuds with BT5.0, Up to 12H Playback(Black) & Zeb-Bang Wireless Bluetooth On The Ear Headphone",,,ZEBRONICS,,Black,"Over Ear, On Ear",Wireless
Meyaar Rplus 2208 Deep Bass Wired Durable Metal Earphones Headphones with Microphone in Ear Earbuds Noise Isolating Earphones Remote & Mic Headset Stereo Headphones for Android & iOS- White,₹799,109,Meyaar,,Metal Black,In Ear,wired usb
ZEBRONICS Wire Less Ear Buds Zeb Sound Bomb 6,"₹2,999","1,099",ZEBRONICS,ZEB SOUND BOMB 6,RED,In Ear,Wireless
"boAt Rockerz 450 Captain America Edition 15 Hours Battery, 40mm Drivers, Padded Ear Cushions, Easy Access Controls and Voice Assistant Bluetooth Wireless On Ear Headphones with Mic and (Soldier Blue)","₹3,990","1,799",boAt,boAt rockerz 450,Soldier's Blue,On Ear,Wireless
(Renewed) Boat Super Bass Rockerz 400 Bluetooth On-Ear Headphones with Mic (Grey/Green),,,boAt,,Grey/Green,On Ear,Wireless
(Renewed) boAT Airdopes 381 Bluetooth Truly Wireless In Ear Earbuds With Mic Spirit Lime,,,boAt,Boat Airdopes 381-cr,Lime,In Ear,Wireless
ZEBRONICS Zeb-Bang Wireless Bluetooth On The Ear Headphone with Mic and Playback time 16 hrs (Black),"₹1,799","1,199",ZEBRONICS,Zeb-Bang,Black,On Ear,Wireless
Skullcandy Sesh Evo Truly Wireless Bluetooth in Ear Earbuds with Mic (Pure Mint),"₹9,999","3,890",Skullcandy,Sesh Evo,Pure Mint,In Ear,Wireless
"(Renewed) boAt Rockerz 245v2 Wireless Bluetooth V5.0, 8 Hours Playback Time, IPX5 Sweat and Water Resistance, in-Built mic and Voice Assistant(Teal Green)",,,boAt,Rockerz 245v2,Teal Green,In Ear,Wireless
"pTron Bassbuds Wave ENC Bluetooth 5.3 Truly Wireless in Ear Earbuds, 40Hrs Total Playtime, Movie Mode & Deep Bass, Low Latency, Stereo Calls, Snug-fit, Smooth Touch Control & Type-C Charging (Blue)","₹4,599","1,099",PTron,Bassbuds,Blue,nan,nan
"Wings Elevate, Smooth Silicon Neckband, Bluetooth 5.0 Wireless in Ear Earphones with Mic, Dual Pairing, Extra Heavy Bass Headphones Earbuds, 10 Hours Playtime (Teal)","₹3,999","1,146",Wings,Wings Elevate,Teal,nan,nan
"pTron Tangent Duo Made in India Bluetooth 5.2 Wireless in-Ear Earphones with Mic, 24Hrs Playback, 13mm Drivers, Punchy Bass, Fast Charging Neckband, Voice Assistant, IPX4 & in-line Controls (Black)","₹1,899",499,PTron,Tangent,Black,In Ear,Bluetooth 5.2
"Noise Newly Launched Bravo Bluetooth Neckband in Ear with Upto 35 Hours of Playtime, Instacharge (10-min Charge=10-hrs Playtime), ESR,10mm Driver, Dual Pairing and BT v5.2 (Cyan Blue)","₹2,799",999,Noise,Bravo,Cyan Blue,In Ear,Wireless
"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, 8MM Drivers, Battery Indicators, Lightweight Earbuds & Multifunction Controls (Active Black, with Mic)","₹2,990","1,299",boAt,Airdopes 140,Active Black,In Ear,Bluetooth 5.0
"ZEBRONICS Zeb-Bro+ 2 RED 14mm Drivers,in-LINE MIC.in-Ear Design,3.5mm CONNECTER,DEEP BASS,1.2m Cable Extra eartips Pair",₹449,275,ZEBRONICS,Zeb-Bro+ 2 red,RED,In Ear,Wired
"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes & Bassheads 242 in Ear Wired Earphones with Mic",,"1,999",boAt,,"Blue, Black",On Ear,"Wireless, Wired"
"ZEBRONICS Zeb-Thunder Wireless Over Ear BT Headphone Comes with mic, 40mm Drivers, AUX Connectivity, Built in FM, Call Function, 9Hrs* Playback time and Supports Micro SD Card(Sea Green)",,699,ZEBRONICS,Zeb-Thunder (Sea Green),Sea Green,Over Ear,Wireless
Meyaar Beex Wired In Ear Earphone with Mic (White),,279,Meyaar,,White,In Ear,wired usb
(Renewed) boAt Rockerz 660 Bluetooth Over-Ear Headphone with Mic(Bumblebee Blue),,,boAt,Rockerz 660,Bumblebee Blue,Over Ear,Wireless
Meyaar M-11 Noise Isolating Wired in-Ear Earphone with Mic (Black + Pink (2 Pack)),₹999,279,Meyaar,M-11,Black + Pink (2 Pack),In Ear,Wired
ZEBRONICS Zeb-Calyx Wired in Ear Earphone with Mic (White) & Zeb-Bro Wired Earphone (White),,,ZEBRONICS,,White,In Ear,Wired
"Gaming Headset K8 with Surround Sound, Premium Wired Over Ear Gaming Headphones with Mic & LED Light, Compatible with PS5, PS4, Switch, Xbox Series X|S, PC, Laptop. (White)","₹1,999",827,RUNMUS GAMING,K8,Black,Over Ear,Wired
"ZEBRONICS Zeb-Sound Bomb G1 Gaming Bluetooth Truly Wireless in Ear Earbuds, 50Ms Low Latency, AAC Support, Flash Connect, Deep Bass, Splash Proof, Voice Assistant, Bt V5.0 with Mic (Red)","₹3,999","1,099",ZEBRONICS,ZEB-SOUND BOMB G1 (RED),Red,In Ear,Wireless
"CableCreation 3.5mm TRS Aux Cable, Braided Audio Auxiliary Input Adapter Male to Male for Car, Hi-Fi Sound, Cotton Compatible with Headphone, Galaxy S22, Phone, Home Stereo, Car Stereo&More",,599,CableCreation,,"Gold, White, Black",nan,Auxiliary
"pTron Tangent Evo, 14Hrs Playback, Bluetooth 5.0 Earphones, In-Ear Headphones with Mic, Deep Bass, Clear Calls, IPX4 Water Resistant Neckband, Voice Assistance, Magnetic Earbuds & Fast Charging (Blue)","₹2,299",499,PTron,Tangent,Blue,In Ear,Wireless
"Noise Buds VS402 Truly Wireless in Ear Earbuds, 35-Hours of Playtime, Instacharge(Neon Black) & ColorFit Pulse Grand Smart Watch with 1.69""(4.29cm) HD Display (Black) & ColorFit Pulse Spo2 Smart Watch",,,Noise,,Neon Black,In Ear,Wireless
Jabra Elite 7 Active in-Ear Bluetooth Earbuds - True Wireless Sports Ear Buds ShakeGrip for The Ultimate fit and Adjustable Active Noise Cancellation - Mint,,"13,899",Jabra,Elite 7 Active,Mint,In Ear,Bluetooth
"Portronics Harmonics Z1 in-Ear Wireless Stereo Headset with Latest Bluetooth 5.2 Voice Assistant, Magnetic Latch, Upto 15Hrs Playtime, with Mic (Black)","₹1,999",889,Portronics,Harmonics Z1,Black,In Ear,Wireless
"Meyaar Kidz Earphones Without Mic Colorful in-Ear Headphones Bulk Earbuds Pack of 10 Wholesale Earphones Headphones in Bulk for Smart Phone, MP3, Computer (10 Pack)",₹999,499,Meyaar,,Black,In Ear,Wired
"PTron Bassbuds Vista in Ear True Wireless Bluetooth 5.1 Earbuds with Deep Bass, IPX4 Sweat Resistant, Passive Noise Cancelation,Up to 12 Hrs Battery, Voice Assistance & Earbuds with HD Mic (Blue)","₹2,799","1,099",PTron,Bassbuds Vista,Blue,In Ear,Wireless
"Wings Phantom 500 Godlike Wireless Gaming Earbuds,TWS Headphones with LED Battery Indicator, 40ms Low Latency, Bluetooth 5.1, 30 + Hours Playtime, ENC, 10mm Speaker Size (Black TWS)","₹4,999","1,299",Wings,Phantom 500 Godlike,Yellow,nan,nan
"Noise Sense Bluetooth Wireless in Ear Earphones, Neckband Earphones with Fast Charging, Up to 25H Playback, Powerful Bass, with mic for Clear Calls, Type C Port, IPX5, Voice Assistant (Forest Green)","₹2,499",799,Noise,Sense,Forest Green,In Ear,Wireless
"ZEBRONICS Sound Bomb 7 Bluetooth TWS in Ear Earbuds with 40H Playtime, ENC Mic, Rapid Charge, Upto 50ms Gaming Mode, Flash Connect, Voice Assistant, Smooth Touch Control, BT v5.2, Type C (White)","₹4,299",999,ZEBRONICS,Zebronics ZEB-SOUND BOMB 7 (White),White,In Ear,Wireless
"Boult Audio X1 Buds True Wireless in Ear Earbuds with 24H Playtime, Quad Mic ENC, Made in India, Type-C Fast Charging, Environmental Noise Cancellation, 10mm Bass Drivers, TWS Airbass ear buds (White)","₹6,999","1,799",Boult Audio,Bassbuds,White,In Ear,Bluetooth 5.1
Meyaar Sunshine YS for Headset Earphone with High Bass Clear Mic for Calling with 3.5 mm Jack Earphone for Android Mobiles Wired Headset with Mic,,199,Meyaar,,White,In Ear,wired usb
"pTron Tangent Duo Made in India Bluetooth 5.2 Wireless in-Ear Earphones with Mic, 24Hrs Playback, 13mm Drivers, Punchy Bass, Fast Charging Neckband, Voice Assistant, IPX4 & in-line Controls (Black)","₹1,899",499,PTron,Tangent,Black,In Ear,Bluetooth 5.2
"Zebronics Zeb-BRO+ in Ear Wired Earphone with Mic, 3.5mm Jack 1.2meter Cable, Multi Function Button 14mm Driver",₹349,249,ZEBRONICS,Zebronics ZEB-BRO+,Black,In Ear,Wired
"(Renewed) boAt 100 Wireless On-Neck Bluetooth V5.0 Earphones with Flexible & Lightweight Design,Upto 30 Hours Battery Time, IPX 4 Sweat and Water Resistance & Integrated Controls with in-Built mic(Green)",,,boAt,,Green,On Ear,Wireless
"boAt Rockerz 550 Over Ear Bluetooth Headphones (Black) & Airdopes 141 Bluetooth Truly Wireless Earbuds with Upto 42H Playtime, Beast Mode Low Latency Upto 80ms for Gaming, ENx Tech, ASAP Charge",,,boAt,,Black,"Over Ear, In Ear",Wireless
"(Renewed) boAt Rockerz 261 Bluetooth Headset (Raging Red, In the Ear)",,"1,499",boAt,,Red,nan,nan
"Noise Newly Launched Xtreme in-Ear Wireless Neckband with 100 + Hours of Playtime, Instacharge, ESR, Hyper Sync, Dual Pairing, Low Latency, 10mm Driver, and Bluetooth v5.2, with Mic (Thunder Black)","₹3,999","1,999",Noise,Noise Xtreme,Thunder Black,In Ear,Wireless
"boAt Airdopes 441 Pro True Wireless in Ear Earbuds with mic, Upto 150 Hours Playback, Signature Sound, IWP Technology, IPX7, BT v5.0, Type-c Interface and Capacitive Touch Controls(Spirit Lime)","₹6,990","2,999",boAt,Airdopes 441 Pro,Spirit Lime,In Ear,Bluetooth 5.0
Jabra Evolve 65t Truly Wireless Bluetooth In Ear Headphone with Mic (Black),"₹39,449","12,990",Jabra,Evolve 65t,Black,In Ear,Wireless
"Meyaar SPN Music Headset 10 pack Made in India Series Earbuds for Kids 10 Pack, Wholesale Earbuds Headphones Earphones for Classroom, School, Library, Computer Lab, Museums, Students and Adult packs (10 Pack)","₹1,999",759,Meyaar,,Black,In Ear,wired usb
"Portronics Harmonics X1 in-Ear Wireless Bluetooth 5.0 Sports Headset with Powerful Audio Output, 15 Hrs Playtime, with Mic, Magnetic Earbuds, Type C Charging (Black)","₹1,999",849,Portronics,Harmonics X1,Black,In Ear,Wireless
Jabra Store Evolve 30 Wired On Ear Headphone with Mic (Black),"₹18,500","7,900",Jabra,Evolve 30,black,On Ear,Wired
"ZEBRONICS Zeb-Sound Bomb N2 TWS Wireless in Ear Earbuds with 50ms Low Latency Gaming, ENC, Voice Assistant, Flash Connect, Splash Proof, BT v5.2, up to 12H Backup, Call Function and Type C (Red)","₹4,199","1,099",ZEBRONICS,ZEB-SOUND BOMB N2 (Red),Red,In Ear,Wireless
Jabra SPORT PACE Wireless Bluetooth Earbuds- Retail Packaging - Blue,"₹22,851","17,851",Jabra,,Blue,nan,nan
"boAt Rockerz 103 Pro Bluetooth in Ear Neckband with Beast Mode(40ms Low Latency), ENx Tech, ASAP Charge(Fast Charge), Upto 20HRS Playback, Signature Sound, BT v5.3 & IPX4(Active Black)","₹2,490","1,199",boAt,Rockerz 103 Pro,Active Black,In Ear,Bluetooth
(Renewed) boAt Airdopes 441 Bluetooth Truly Wireless In Ear Earbuds with Mic (Active Black),,,boAt,Airdopes 441,Active Black,In Ear,"Wireless, Bluetooth v5.0"
Skullcandy Jib (S2DUY-L676) Wired In Ear Earphone with Mic (Black/Red),"₹1,999",820,Skullcandy,Jib with Mic,black,In Ear,Wired
"Portronics Harmonics 240 Retractable in-Ear Wireless Stereo Headset with Faster & Stable Connectivity (Black, with Mic)","₹2,999","2,339",Portronics,Harmonic 200,Black,In Ear,"Wireless, Bluetooth 4.1"
boAt Bassheads 152 in Ear Wired Earphones with Mic(Jazzy Blue),"₹1,290",499,boAt,Bassheads 152,Jazzy Blue,In Ear,Wired
"Skullcandy Hesh Evo Wireless Over-Ear Bluetooth Headphones for iPhone and Android with Mic / 36 Hour Battery Life/Great for Music, School, Workouts, and Gaming/Compact Travel Design - Black","₹14,999","8,448",Skullcandy,Hesh Evo,Black,Over Ear,Wireless
"Meyaar Stereo Headset Q1 Hi-Fi Audio Wired Earphones with Immersive Audio, Multi-Function Button, in-line Microphone & Perfect Length Tangle Free Cable (White)",₹999,199,Meyaar,,White,In Ear,wired usb
